name,acceleration,origin,horsepower,cylinders,year,mpg,weight,displacement
amc_gremlin,13.0,1.0,100,6.0,71.0,19.0,2634.0,232.0
plymouth_satellite_custom,15.5,1.0,105,6.0,71.0,16.0,3439.0,225.0
chevrolet_chevelle_malibu,15.5,1.0,100,6.0,71.0,17.0,3329.0,250.0
ford_torino_500,15.5,1.0,88,6.0,71.0,19.0,3302.0,250.0
amc_matador,15.5,1.0,100,6.0,71.0,18.0,3288.0,232.0
chevrolet_impala,12.0,1.0,165,8.0,71.0,14.0,4209.0,350.0
pontiac_catalina_brougham,11.5,1.0,175,8.0,71.0,14.0,4464.0,400.0
ford_galaxie_500,13.5,1.0,153,8.0,71.0,14.0,4154.0,351.0
plymouth_fury_iii,13.0,1.0,150,8.0,71.0,14.0,4096.0,318.0
dodge_monaco_(sw),11.5,1.0,180,8.0,71.0,12.0,4955.0,383.0
ford_country_squire_(sw),12.0,1.0,170,8.0,71.0,13.0,4746.0,400.0
pontiac_safari_(sw),12.0,1.0,175,8.0,71.0,13.0,5140.0,400.0
amc_hornet_sportabout_(sw),13.5,1.0,110,6.0,71.0,18.0,2962.0,258.0
chevrolet_vega_(sw),19.0,1.0,72,4.0,71.0,22.0,2408.0,140.0
pontiac_firebird,15.0,1.0,100,6.0,71.0,19.0,3282.0,250.0
ford_mustang,14.5,1.0,88,6.0,71.0,18.0,3139.0,250.0
mercury_capri_2000,14.0,1.0,86,4.0,71.0,23.0,2220.0,122.0
opel_1900,14.0,2.0,90,4.0,71.0,28.0,2123.0,116.0
peugeot_304,19.5,2.0,70,4.0,71.0,30.0,2074.0,79.0
fiat_124b,14.5,2.0,76,4.0,71.0,30.0,2065.0,88.0
toyota_corolla_1200,19.0,3.0,65,4.0,71.0,31.0,1773.0,71.0
datsun_1200,18.0,3.0,69,4.0,71.0,35.0,1613.0,72.0
volkswagen_model_111,19.0,2.0,60,4.0,71.0,27.0,1834.0,97.0
plymouth_cricket,20.5,1.0,70,4.0,71.0,26.0,1955.0,91.0
toyota_corona_hardtop,15.5,3.0,95,4.0,72.0,24.0,2278.0,113.0
dodge_colt_hardtop,17.0,1.0,80,4.0,72.0,25.0,2126.0,97.5
volkswagen_type_3,23.5,2.0,54,4.0,72.0,23.0,2254.0,97.0
chevrolet_vega,19.5,1.0,90,4.0,72.0,20.0,2408.0,140.0
ford_pinto_runabout,16.5,1.0,86,4.0,72.0,21.0,2226.0,122.0
chevrolet_impala,12.0,1.0,165,8.0,72.0,13.0,4274.0,350.0
pontiac_catalina,12.0,1.0,175,8.0,72.0,14.0,4385.0,400.0
plymouth_fury_iii,13.5,1.0,150,8.0,72.0,15.0,4135.0,318.0
ford_galaxie_500,13.0,1.0,153,8.0,72.0,14.0,4129.0,351.0
amc_ambassador_sst,11.5,1.0,150,8.0,72.0,17.0,3672.0,304.0
mercury_marquis,11.0,1.0,208,8.0,72.0,11.0,4633.0,429.0
buick_lesabre_custom,13.5,1.0,155,8.0,72.0,13.0,4502.0,350.0
oldsmobile_delta_88_royale,13.5,1.0,160,8.0,72.0,12.0,4456.0,350.0
chrysler_newport_royal,12.5,1.0,190,8.0,72.0,13.0,4422.0,400.0
mazda_rx2_coupe,13.5,3.0,97,3.0,72.0,19.0,2330.0,70.0
amc_matador_(sw),12.5,1.0,150,8.0,72.0,15.0,3892.0,304.0
chevrolet_chevelle_concours_(sw),14.0,1.0,130,8.0,72.0,13.0,4098.0,307.0
ford_gran_torino_(sw),16.0,1.0,140,8.0,72.0,13.0,4294.0,302.0
plymouth_satellite_custom_(sw),14.0,1.0,150,8.0,72.0,14.0,4077.0,318.0
volvo_145e_(sw),14.5,2.0,112,4.0,72.0,18.0,2933.0,121.0
volkswagen_411_(sw),18.0,2.0,76,4.0,72.0,22.0,2511.0,121.0
peugeot_504_(sw),19.5,2.0,87,4.0,72.0,21.0,2979.0,120.0
renault_12_(sw),18.0,2.0,69,4.0,72.0,26.0,2189.0,96.0
ford_pinto_(sw),16.0,1.0,86,4.0,72.0,22.0,2395.0,122.0
datsun_510_(sw),17.0,3.0,92,4.0,72.0,28.0,2288.0,97.0
toyouta_corona_mark_ii_(sw),14.5,3.0,97,4.0,72.0,23.0,2506.0,120.0
dodge_colt_(sw),15.0,1.0,80,4.0,72.0,28.0,2164.0,98.0
toyota_corolla_1600_(sw),16.5,3.0,88,4.0,72.0,27.0,2100.0,97.0
buick_century_350,13.0,1.0,175,8.0,73.0,13.0,4100.0,350.0
amc_matador,11.5,1.0,150,8.0,73.0,14.0,3672.0,304.0
chevrolet_malibu,13.0,1.0,145,8.0,73.0,13.0,3988.0,350.0
ford_gran_torino,14.5,1.0,137,8.0,73.0,14.0,4042.0,302.0
dodge_coronet_custom,12.5,1.0,150,8.0,73.0,15.0,3777.0,318.0
mercury_marquis_brougham,11.5,1.0,198,8.0,73.0,12.0,4952.0,429.0
chevrolet_caprice_classic,12.0,1.0,150,8.0,73.0,13.0,4464.0,400.0
ford_ltd,13.0,1.0,158,8.0,73.0,13.0,4363.0,351.0
plymouth_fury_gran_sedan,14.5,1.0,150,8.0,73.0,14.0,4237.0,318.0
chrysler_new_yorker_brougham,11.0,1.0,215,8.0,73.0,13.0,4735.0,440.0
buick_electra_225_custom,11.0,1.0,225,8.0,73.0,12.0,4951.0,455.0
amc_ambassador_brougham,11.0,1.0,175,8.0,73.0,13.0,3821.0,360.0
plymouth_valiant,16.5,1.0,105,6.0,73.0,18.0,3121.0,225.0
chevrolet_nova_custom,18.0,1.0,100,6.0,73.0,16.0,3278.0,250.0
amc_hornet,16.0,1.0,100,6.0,73.0,18.0,2945.0,232.0
ford_maverick,16.5,1.0,88,6.0,73.0,18.0,3021.0,250.0
plymouth_duster,16.0,1.0,95,6.0,73.0,23.0,2904.0,198.0
volkswagen_super_beetle,21.0,2.0,46,4.0,73.0,26.0,1950.0,97.0
chevrolet_impala,14.0,1.0,150,8.0,73.0,11.0,4997.0,400.0
ford_country,12.5,1.0,167,8.0,73.0,12.0,4906.0,400.0
plymouth_custom_suburb,13.0,1.0,170,8.0,73.0,13.0,4654.0,360.0
oldsmobile_vista_cruiser,12.5,1.0,180,8.0,73.0,12.0,4499.0,350.0
amc_gremlin,15.0,1.0,100,6.0,73.0,18.0,2789.0,232.0
toyota_carina,19.0,3.0,88,4.0,73.0,20.0,2279.0,97.0
chevrolet_vega,19.5,1.0,72,4.0,73.0,21.0,2401.0,140.0
datsun_610,16.5,3.0,94,4.0,73.0,22.0,2379.0,108.0
maxda_rx3,13.5,3.0,90,3.0,73.0,18.0,2124.0,70.0
ford_pinto,18.5,1.0,85,4.0,73.0,19.0,2310.0,122.0
mercury_capri_v6,14.0,1.0,107,6.0,73.0,21.0,2472.0,155.0
fiat_124_sport_coupe,15.5,2.0,90,4.0,73.0,26.0,2265.0,98.0
chevrolet_monte_carlo_s,13.0,1.0,145,8.0,73.0,15.0,4082.0,350.0
pontiac_grand_prix,9.5,1.0,230,8.0,73.0,16.0,4278.0,400.0
fiat_128,19.5,2.0,49,4.0,73.0,29.0,1867.0,68.0
opel_manta,15.5,2.0,75,4.0,73.0,24.0,2158.0,116.0
audi_100ls,14.0,2.0,91,4.0,73.0,20.0,2582.0,114.0
volvo_144ea,15.5,2.0,112,4.0,73.0,19.0,2868.0,121.0
dodge_dart_custom,11.0,1.0,150,8.0,73.0,15.0,3399.0,318.0
saab_99le,14.0,2.0,110,4.0,73.0,24.0,2660.0,121.0
toyota_mark_ii,13.5,3.0,122,6.0,73.0,20.0,2807.0,156.0
oldsmobile_omega,11.0,1.0,180,8.0,73.0,11.0,3664.0,350.0
plymouth_duster,16.5,1.0,95,6.0,74.0,20.0,3102.0,198.0
ford_maverick,17.0,1.0,?,6.0,74.0,21.0,2875.0,200.0
amc_hornet,16.0,1.0,100,6.0,74.0,19.0,2901.0,232.0
chevrolet_nova,17.0,1.0,100,6.0,74.0,15.0,3336.0,250.0
datsun_b210,19.0,3.0,67,4.0,74.0,31.0,1950.0,79.0
ford_pinto,16.5,1.0,80,4.0,74.0,26.0,2451.0,122.0
toyota_corolla_1200,21.0,3.0,65,4.0,74.0,32.0,1836.0,71.0
chevrolet_vega,17.0,1.0,75,4.0,74.0,25.0,2542.0,140.0
chevrolet_chevelle_malibu_classic,17.0,1.0,100,6.0,74.0,16.0,3781.0,250.0
amc_matador,18.0,1.0,110,6.0,74.0,16.0,3632.0,258.0
plymouth_satellite_sebring,16.5,1.0,105,6.0,74.0,18.0,3613.0,225.0
ford_gran_torino,14.0,1.0,140,8.0,74.0,16.0,4141.0,302.0
buick_century_luxus_(sw),14.5,1.0,150,8.0,74.0,13.0,4699.0,350.0
dodge_coronet_custom_(sw),13.5,1.0,150,8.0,74.0,14.0,4457.0,318.0
ford_gran_torino_(sw),16.0,1.0,140,8.0,74.0,14.0,4638.0,302.0
amc_matador_(sw),15.5,1.0,150,8.0,74.0,14.0,4257.0,304.0
audi_fox,16.5,2.0,83,4.0,74.0,29.0,2219.0,98.0
volkswagen_dasher,15.5,2.0,67,4.0,74.0,26.0,1963.0,79.0
opel_manta,14.5,2.0,78,4.0,74.0,26.0,2300.0,97.0
toyota_corona,16.5,3.0,52,4.0,74.0,31.0,1649.0,76.0
datsun_710,19.0,3.0,61,4.0,74.0,32.0,2003.0,83.0
dodge_colt,14.5,1.0,75,4.0,74.0,28.0,2125.0,90.0
fiat_128,15.5,2.0,75,4.0,74.0,24.0,2108.0,90.0
fiat_124_tc,14.0,2.0,75,4.0,74.0,26.0,2246.0,116.0
honda_civic,15.0,3.0,97,4.0,74.0,24.0,2489.0,120.0
subaru,15.5,3.0,93,4.0,74.0,26.0,2391.0,108.0
fiat_x1.9,16.0,2.0,67,4.0,74.0,31.0,2000.0,79.0
plymouth_valiant_custom,16.0,1.0,95,6.0,75.0,19.0,3264.0,225.0
chevrolet_nova,16.0,1.0,105,6.0,75.0,18.0,3459.0,250.0
mercury_monarch,21.0,1.0,72,6.0,75.0,15.0,3432.0,250.0
ford_maverick,19.5,1.0,72,6.0,75.0,15.0,3158.0,250.0
pontiac_catalina,11.5,1.0,170,8.0,75.0,16.0,4668.0,400.0
chevrolet_bel_air,14.0,1.0,145,8.0,75.0,15.0,4440.0,350.0
plymouth_grand_fury,14.5,1.0,150,8.0,75.0,16.0,4498.0,318.0
ford_ltd,13.5,1.0,148,8.0,75.0,14.0,4657.0,351.0
buick_century,21.0,1.0,110,6.0,75.0,17.0,3907.0,231.0
chevroelt_chevelle_malibu,18.5,1.0,105,6.0,75.0,16.0,3897.0,250.0
amc_matador,19.0,1.0,110,6.0,75.0,15.0,3730.0,258.0
plymouth_fury,19.0,1.0,95,6.0,75.0,18.0,3785.0,225.0
buick_skyhawk,15.0,1.0,110,6.0,75.0,21.0,3039.0,231.0
chevrolet_monza_2+2,13.5,1.0,110,8.0,75.0,20.0,3221.0,262.0
ford_mustang_ii,12.0,1.0,129,8.0,75.0,13.0,3169.0,302.0
toyota_corolla,16.0,3.0,75,4.0,75.0,29.0,2171.0,97.0
ford_pinto,17.0,1.0,83,4.0,75.0,23.0,2639.0,140.0
amc_gremlin,16.0,1.0,100,6.0,75.0,20.0,2914.0,232.0
pontiac_astro,18.5,1.0,78,4.0,75.0,23.0,2592.0,140.0
toyota_corona,13.5,3.0,96,4.0,75.0,24.0,2702.0,134.0
volkswagen_dasher,16.5,2.0,71,4.0,75.0,25.0,2223.0,90.0
datsun_710,17.0,3.0,97,4.0,75.0,24.0,2545.0,119.0
ford_pinto,14.5,1.0,97,6.0,75.0,18.0,2984.0,171.0
volkswagen_rabbit,14.0,2.0,70,4.0,75.0,29.0,1937.0,90.0
amc_pacer,17.0,1.0,90,6.0,75.0,19.0,3211.0,232.0
audi_100ls,15.0,2.0,95,4.0,75.0,23.0,2694.0,115.0
peugeot_504,17.0,2.0,88,4.0,75.0,23.0,2957.0,120.0
volvo_244dl,14.5,2.0,98,4.0,75.0,22.0,2945.0,121.0
saab_99le,13.5,2.0,115,4.0,75.0,25.0,2671.0,121.0
honda_civic_cvcc,17.5,3.0,53,4.0,75.0,33.0,1795.0,91.0
fiat_131,15.5,2.0,86,4.0,76.0,28.0,2464.0,107.0
opel_1900,16.9,2.0,81,4.0,76.0,25.0,2220.0,116.0
capri_ii,14.9,1.0,92,4.0,76.0,25.0,2572.0,140.0
dodge_colt,17.7,1.0,79,4.0,76.0,26.0,2255.0,98.0
renault_12tl,15.3,2.0,83,4.0,76.0,27.0,2202.0,101.0
chevrolet_chevelle_malibu_classic,13.0,1.0,140,8.0,76.0,17.5,4215.0,305.0
dodge_coronet_brougham,13.0,1.0,150,8.0,76.0,16.0,4190.0,318.0
amc_matador,13.9,1.0,120,8.0,76.0,15.5,3962.0,304.0
ford_gran_torino,12.8,1.0,152,8.0,76.0,14.5,4215.0,351.0
plymouth_valiant,15.4,1.0,100,6.0,76.0,22.0,3233.0,225.0
chevrolet_nova,14.5,1.0,105,6.0,76.0,22.0,3353.0,250.0
ford_maverick,17.6,1.0,81,6.0,76.0,24.0,3012.0,200.0
amc_hornet,17.6,1.0,90,6.0,76.0,22.5,3085.0,232.0
chevrolet_chevette,22.2,1.0,52,4.0,76.0,29.0,2035.0,85.0
chevrolet_woody,22.1,1.0,60,4.0,76.0,24.5,2164.0,98.0
vw_rabbit,14.2,2.0,70,4.0,76.0,29.0,1937.0,90.0
honda_civic,17.4,3.0,53,4.0,76.0,33.0,1795.0,91.0
dodge_aspen_se,17.7,1.0,100,6.0,76.0,20.0,3651.0,225.0
ford_granada_ghia,21.0,1.0,78,6.0,76.0,18.0,3574.0,250.0
pontiac_ventura_sj,16.2,1.0,110,6.0,76.0,18.5,3645.0,250.0
amc_pacer_d/l,17.8,1.0,95,6.0,76.0,17.5,3193.0,258.0
volkswagen_rabbit,12.2,2.0,71,4.0,76.0,29.5,1825.0,97.0
datsun_b-210,17.0,3.0,70,4.0,76.0,32.0,1990.0,85.0
toyota_corolla,16.4,3.0,75,4.0,76.0,28.0,2155.0,97.0
ford_pinto,13.6,1.0,72,4.0,76.0,26.5,2565.0,140.0
volvo_245,15.7,2.0,102,4.0,76.0,20.0,3150.0,130.0
plymouth_volare_premier_v8,13.2,1.0,150,8.0,76.0,13.0,3940.0,318.0
peugeot_504,21.9,2.0,88,4.0,76.0,19.0,3270.0,120.0
toyota_mark_ii,15.5,3.0,108,6.0,76.0,19.0,2930.0,156.0
mercedes-benz_280s,16.7,2.0,120,6.0,76.0,16.5,3820.0,168.0
cadillac_seville,12.1,1.0,180,8.0,76.0,16.5,4380.0,350.0
chevy_c10,12.0,1.0,145,8.0,76.0,13.0,4055.0,350.0
ford_f108,15.0,1.0,130,8.0,76.0,13.0,3870.0,302.0
dodge_d100,14.0,1.0,150,8.0,76.0,13.0,3755.0,318.0
honda_accord_cvcc,18.5,3.0,68,4.0,77.0,31.5,2045.0,98.0
buick_opel_isuzu_deluxe,14.8,1.0,80,4.0,77.0,30.0,2155.0,111.0
renault_5_gtl,18.6,2.0,58,4.0,77.0,36.0,1825.0,79.0
plymouth_arrow_gs,15.5,1.0,96,4.0,77.0,25.5,2300.0,122.0
datsun_f-10_hatchback,16.8,3.0,70,4.0,77.0,33.5,1945.0,85.0
chevrolet_caprice_classic,12.5,1.0,145,8.0,77.0,17.5,3880.0,305.0
oldsmobile_cutlass_supreme,19.0,1.0,110,8.0,77.0,17.0,4060.0,260.0
dodge_monaco_brougham,13.7,1.0,145,8.0,77.0,15.5,4140.0,318.0
mercury_cougar_brougham,14.9,1.0,130,8.0,77.0,15.0,4295.0,302.0
chevrolet_concours,16.4,1.0,110,6.0,77.0,17.5,3520.0,250.0
buick_skylark,16.9,1.0,105,6.0,77.0,20.5,3425.0,231.0
plymouth_volare_custom,17.7,1.0,100,6.0,77.0,19.0,3630.0,225.0
ford_granada,19.0,1.0,98,6.0,77.0,18.5,3525.0,250.0
pontiac_grand_prix_lj,11.1,1.0,180,8.0,77.0,16.0,4220.0,400.0
chevrolet_monte_carlo_landau,11.4,1.0,170,8.0,77.0,15.5,4165.0,350.0
chrysler_cordoba,12.2,1.0,190,8.0,77.0,15.5,4325.0,400.0
ford_thunderbird,14.5,1.0,149,8.0,77.0,16.0,4335.0,351.0
volkswagen_rabbit_custom,14.5,2.0,78,4.0,77.0,29.0,1940.0,97.0
pontiac_sunbird_coupe,16.0,1.0,88,4.0,77.0,24.5,2740.0,151.0
toyota_corolla_liftback,18.2,3.0,75,4.0,77.0,26.0,2265.0,97.0
ford_mustang_ii_2+2,15.8,1.0,89,4.0,77.0,25.5,2755.0,140.0
chevrolet_chevette,17.0,1.0,63,4.0,77.0,30.5,2051.0,98.0
dodge_colt_m/m,15.9,1.0,83,4.0,77.0,33.5,2075.0,98.0
subaru_dl,16.4,3.0,67,4.0,77.0,30.0,1985.0,97.0
volkswagen_dasher,14.1,2.0,78,4.0,77.0,30.5,2190.0,97.0
datsun_810,14.5,3.0,97,6.0,77.0,22.0,2815.0,146.0
bmw_320i,12.8,2.0,110,4.0,77.0,21.5,2600.0,121.0
mazda_rx-4,13.5,3.0,110,3.0,77.0,21.5,2720.0,80.0
volkswagen_rabbit_custom_diesel,21.5,2.0,48,4.0,78.0,43.1,1985.0,90.0
ford_fiesta,14.4,1.0,66,4.0,78.0,36.1,1800.0,98.0
mazda_glc_deluxe,19.4,3.0,52,4.0,78.0,32.8,1985.0,78.0
datsun_b210_gx,18.6,3.0,70,4.0,78.0,39.4,2070.0,85.0
honda_civic_cvcc,16.4,3.0,60,4.0,78.0,36.1,1800.0,91.0
oldsmobile_cutlass_salon_brougham,15.5,1.0,110,8.0,78.0,19.9,3365.0,260.0
dodge_diplomat,13.2,1.0,140,8.0,78.0,19.4,3735.0,318.0
mercury_monarch_ghia,12.8,1.0,139,8.0,78.0,20.2,3570.0,302.0
pontiac_phoenix_lj,19.2,1.0,105,6.0,78.0,19.2,3535.0,231.0
chevrolet_malibu,18.2,1.0,95,6.0,78.0,20.5,3155.0,200.0
ford_fairmont_(auto),15.8,1.0,85,6.0,78.0,20.2,2965.0,200.0
ford_fairmont_(man),15.4,1.0,88,4.0,78.0,25.1,2720.0,140.0
plymouth_volare,17.2,1.0,100,6.0,78.0,20.5,3430.0,225.0
amc_concord,17.2,1.0,90,6.0,78.0,19.4,3210.0,232.0
buick_century_special,15.8,1.0,105,6.0,78.0,20.6,3380.0,231.0
mercury_zephyr,16.7,1.0,85,6.0,78.0,20.8,3070.0,200.0
dodge_aspen,18.7,1.0,110,6.0,78.0,18.6,3620.0,225.0
amc_concord_d/l,15.1,1.0,120,6.0,78.0,18.1,3410.0,258.0
chevrolet_monte_carlo_landau,13.2,1.0,145,8.0,78.0,19.2,3425.0,305.0
buick_regal_sport_coupe_(turbo),13.4,1.0,165,6.0,78.0,17.7,3445.0,231.0
ford_futura,11.2,1.0,139,8.0,78.0,18.1,3205.0,302.0
dodge_magnum_xe,13.7,1.0,140,8.0,78.0,17.5,4080.0,318.0
chevrolet_chevette,16.5,1.0,68,4.0,78.0,30.0,2155.0,98.0
toyota_corona,14.2,3.0,95,4.0,78.0,27.5,2560.0,134.0
datsun_510,14.7,3.0,97,4.0,78.0,27.2,2300.0,119.0
dodge_omni,14.5,1.0,75,4.0,78.0,30.9,2230.0,105.0
toyota_celica_gt_liftback,14.8,3.0,95,4.0,78.0,21.1,2515.0,134.0
plymouth_sapporo,16.7,1.0,105,4.0,78.0,23.2,2745.0,156.0
oldsmobile_starfire_sx,17.6,1.0,85,4.0,78.0,23.8,2855.0,151.0
datsun_200-sx,14.9,3.0,97,4.0,78.0,23.9,2405.0,119.0
audi_5000,15.9,2.0,103,5.0,78.0,20.3,2830.0,131.0
volvo_264gl,13.6,2.0,125,6.0,78.0,17.0,3140.0,163.0
saab_99gle,15.7,2.0,115,4.0,78.0,21.6,2795.0,121.0
peugeot_604sl,15.8,2.0,133,6.0,78.0,16.2,3410.0,163.0
volkswagen_scirocco,14.9,2.0,71,4.0,78.0,31.5,1990.0,89.0
honda_accord_lx,16.6,3.0,68,4.0,78.0,29.5,2135.0,98.0
pontiac_lemans_v6,15.4,1.0,115,6.0,79.0,21.5,3245.0,231.0
mercury_zephyr_6,18.2,1.0,85,6.0,79.0,19.8,2990.0,200.0
ford_fairmont_4,17.3,1.0,88,4.0,79.0,22.3,2890.0,140.0
amc_concord_dl_6,18.2,1.0,90,6.0,79.0,20.2,3265.0,232.0
dodge_aspen_6,16.6,1.0,110,6.0,79.0,20.6,3360.0,225.0
chevrolet_caprice_classic,15.4,1.0,130,8.0,79.0,17.0,3840.0,305.0
ford_ltd_landau,13.4,1.0,129,8.0,79.0,17.6,3725.0,302.0
mercury_grand_marquis,13.2,1.0,138,8.0,79.0,16.5,3955.0,351.0
dodge_st._regis,15.2,1.0,135,8.0,79.0,18.2,3830.0,318.0
buick_estate_wagon_(sw),14.9,1.0,155,8.0,79.0,16.9,4360.0,350.0
ford_country_squire_(sw),14.3,1.0,142,8.0,79.0,15.5,4054.0,351.0
chevrolet_malibu_classic_(sw),15.0,1.0,125,8.0,79.0,19.2,3605.0,267.0
chrysler_lebaron_town_@_country_(sw),13.0,1.0,150,8.0,79.0,18.5,3940.0,360.0
vw_rabbit_custom,14.0,2.0,71,4.0,79.0,31.9,1925.0,89.0
maxda_glc_deluxe,15.2,3.0,65,4.0,79.0,34.1,1975.0,86.0
dodge_colt_hatchback_custom,14.4,1.0,80,4.0,79.0,35.7,1915.0,98.0
amc_spirit_dl,15.0,1.0,80,4.0,79.0,27.4,2670.0,121.0
mercedes_benz_300d,20.1,2.0,77,5.0,79.0,25.4,3530.0,183.0
cadillac_eldorado,17.4,1.0,125,8.0,79.0,23.0,3900.0,350.0
peugeot_504,24.8,2.0,71,4.0,79.0,27.2,3190.0,141.0
oldsmobile_cutlass_salon_brougham,22.2,1.0,90,8.0,79.0,23.9,3420.0,260.0
plymouth_horizon,13.2,1.0,70,4.0,79.0,34.2,2200.0,105.0
plymouth_horizon_tc3,14.9,1.0,70,4.0,79.0,34.5,2150.0,105.0
datsun_210,19.2,3.0,65,4.0,79.0,31.8,2020.0,85.0
fiat_strada_custom,14.7,2.0,69,4.0,79.0,37.3,2130.0,91.0
buick_skylark_limited,16.0,1.0,90,4.0,79.0,28.4,2670.0,151.0
chevrolet_citation,11.3,1.0,115,6.0,79.0,28.8,2595.0,173.0
oldsmobile_omega_brougham,12.9,1.0,115,6.0,79.0,26.8,2700.0,173.0
pontiac_phoenix,13.2,1.0,90,4.0,79.0,33.5,2556.0,151.0
vw_rabbit,14.7,2.0,76,4.0,80.0,41.5,2144.0,98.0
toyota_corolla_tercel,18.8,3.0,60,4.0,80.0,38.1,1968.0,89.0
chevrolet_chevette,15.5,1.0,70,4.0,80.0,32.1,2120.0,98.0
datsun_310,16.4,3.0,65,4.0,80.0,37.2,2019.0,86.0
chevrolet_citation,16.5,1.0,90,4.0,80.0,28.0,2678.0,151.0
ford_fairmont,18.1,1.0,88,4.0,80.0,26.4,2870.0,140.0
amc_concord,20.1,1.0,90,4.0,80.0,24.3,3003.0,151.0
dodge_aspen,18.7,1.0,90,6.0,80.0,19.1,3381.0,225.0
audi_4000,15.8,2.0,78,4.0,80.0,34.3,2188.0,97.0
toyota_corona_liftback,15.5,3.0,90,4.0,80.0,29.8,2711.0,134.0
mazda_626,17.5,3.0,75,4.0,80.0,31.3,2542.0,120.0
datsun_510_hatchback,15.0,3.0,92,4.0,80.0,37.0,2434.0,119.0
toyota_corolla,15.2,3.0,75,4.0,80.0,32.2,2265.0,108.0
mazda_glc,17.9,3.0,65,4.0,80.0,46.6,2110.0,86.0
dodge_colt,14.4,1.0,105,4.0,80.0,27.9,2800.0,156.0
datsun_210,19.2,3.0,65,4.0,80.0,40.8,2110.0,85.0
vw_rabbit_c_(diesel),21.7,2.0,48,4.0,80.0,44.3,2085.0,90.0
vw_dasher_(diesel),23.7,2.0,48,4.0,80.0,43.4,2335.0,90.0
audi_5000s_(diesel),19.9,2.0,67,5.0,80.0,36.4,2950.0,121.0
mercedes-benz_240d,21.8,2.0,67,4.0,80.0,30.0,3250.0,146.0
honda_civic_1500_gl,13.8,3.0,67,4.0,80.0,44.6,1850.0,91.0
renault_lecar_deluxe,17.3,2.0,?,4.0,80.0,40.9,1835.0,85.0
subaru_dl,18.0,3.0,67,4.0,80.0,33.8,2145.0,97.0
vokswagen_rabbit,15.3,2.0,62,4.0,80.0,29.8,1845.0,89.0
datsun_280-zx,11.4,3.0,132,6.0,80.0,32.7,2910.0,168.0
mazda_rx-7_gs,12.5,3.0,100,3.0,80.0,23.7,2420.0,70.0
triumph_tr7_coupe,15.1,2.0,88,4.0,80.0,35.0,2500.0,122.0
ford_mustang_cobra,14.3,1.0,?,4.0,80.0,23.6,2905.0,140.0
honda_accord,17.0,3.0,72,4.0,80.0,32.4,2290.0,107.0
plymouth_reliant,15.7,1.0,84,4.0,81.0,27.2,2490.0,135.0
buick_skylark,16.4,1.0,84,4.0,81.0,26.6,2635.0,151.0
